Description,TotalSalesDollars,ProfitMargin
Belle Ambiance Chard,352.66000000000014,18.561787557420782
Benvolio Toscana Rosso,649.5,35.11316397228638
Beyond Svgn Bl,195.45000000000002,40.90560245587107
Big Claw White,194.85,35.026943802925324
Bigi Orvieto Clsc Vendemmia,419.65000000000003,32.31502442511617
Biokult Gruner Veltliner,279.80000000000007,18.341672623302383
Bird Dog Hot Cinnamon Whisky,152.91,24.249558563861097
Bisol Crede Prosseco Super V,263.88,34.60663938153706
Bitch Vodka,945.5700000000002,39.35086773057522
Black Box Moscato B/B,134.91,70.76569564895115
Blackstone Winemakers Malbec,419.30000000000007,83.25542570951586
Bliss Cab Svgn,363.7400000000001,5.778853026887377
Bliss Merlot,167.88,32.88062902072909
Blossom Hill Merlot,791.28,21.656050955414
Blossom Hill Wh Znfdl,263.76,19.358507734303913
Blue Chair Bay Coc Spced Rum,645.6600000000001,36.25127776228975
Bluebird Chardonnay,215.76,32.48053392658509
Bocelli Sangiovese,431.76,32.40689271817677
Bodega Garzon Albarino,179.88,35.090060040026685
Bodegas Jeromin Zesto Rosada,287.76,31.02585487906589
Bodegas Numanthia Termes,815.6600000000002,20.127258906897513
Bodini Malbec Mendoza,457.62,28.04073248546829
Bolla Valpo Ripasso Cls Sup,683.4599999999999,42.8759547010798
Bols Apricot Flavored Brand,670.3900000000001,23.11191992720657
Bols Blackberry Brandy,560.4900000000001,23.791682278006753
Bols Butterscotch,319.68000000000006,23.61111111111113
Bols Genever Amsterdam,164.95000000000002,20.00606244316461
Bols Lychee,139.85999999999999,28.028028028028025
Bols Maraschino Liqueur,218.31,19.01424579726077
Bols Melon Liqueur,869.1300000000005,45.40057298677991
Bols Pomegranate Liqueur,465.0100000000003,50.46558138534658
Bols White Creme De Menthe,219.78000000000003,13.049413049413051
Bonal Apertif,56.97,35.49236440231701
Bongiovanni Dolceo D'Alba,815.5200000000002,83.10771041789289
Bonny Doon Clos de Gilroy Rd,860.4300000000001,52.30291830828773
Boones Sangria,391.69000000000017,30.577752814725972
Bota Brick Cab Svgn,427.5900000000002,34.189293482073985
Bota Brick Chard,269.74000000000007,20.990583524875824
Bota Brick Pnt Grigio,387.63000000000017,17.529602971906233
Bota Mini Merlot,258.65999999999997,12.317327766179536
Bota Mini Moscato,593.9599999999999,17.312613644016423
Bota Mini RedVolution,614.63,25.14520931291997
Botromagno Gravina,89.88,30.97463284379172
Boundary Breaks Dry Rsl #239,721.6200000000001,12.862725534214704
Boundary Breaks Rsl Rsv #198,359.82000000000005,8.687677171919304
Bouvier Marsannay Rose,545.79,62.64497334139504
Bouza Temp Tannat,699.7200000000001,15.417595609672452
Bowman's Gin,144.67000000000002,19.706919195410254
Bowman's Light Vodka,618.88,75.84022750775596
Bowman's Rum,172.26999999999998,15.63243745283567
Bowmore Legend Single Malt,242.91,51.64464204849533
Brancott Estate 'B' Svgn Bl,31.47,35.08102955195424
Brandborg Benchlands Pnt Nr,24.99,32.41296518607442
Briggs Lockhart Chard,324.75,36.44341801385681
Brinley Gold Shipwrck Coffee,149.94,27.010804321728692
Brinley Gold Shipwreck,119.94,23.661830915457728
Brinley Gold Shipwrk Coconut,449.82,23.649459783913564
Broadside Cab Svgn Paso Rob,326.94,56.98293264819233
Brooks Runaway Red,263.88,34.19736243747158
Brousko Dry Red,131.88,33.75796178343949
Brownstone Merlot Cal,467.4800000000001,21.45118507743648
Brownstone Pnt Nr,359.6,1.3904338153503892
Bruichladdich Rocks Sngl Mlt,899.82,76.02187104087484
Bruno Giacosa Roero Arneisxc,149.88,35.468374699759806
Buenas Tempranillo,252.7700000000001,33.75796178343952
Bully Boy White Rum,335.88,20.65023222579493
Bully Hill NY Rsl,155.88,32.409545804464976
Butterfly Kiss Pnt Grigio,107.64,32.77591973244147
Byron Pnt Nr Nielson Vyd SMV,575.82,31.978743357299162
Byrrh Apertif,689.5600000000001,52.01287777713324
C K Mondavi Svgn Bl Cal,71.94,38.4487072560467
C K Mondavi Wh Znfdl,153.79999999999998,38.049414824447325
C Krug Chard,902.5400000000003,16.96766902297962
C Krug RSV Generations Napa,513.9,16.263864565090483
C Monaci Kreos Rosato,395.78000000000003,66.20344635908839
C Y Toro Carmenere Terrunyo,175.92000000000002,91.77467030468395
C Y Toro Diablo Red,11.99,33.778148457047536
C'est La Vie Syrah-Grenache,27.98,32.4517512508935
Cabreo Il Borgo Toscana,764.83,77.08510387929344
Cadaretta Svgn Bl Semillon C,275.88,31.970421922575028
Caffo Grappa Italiana,373.83000000000004,26.964128079608397
Cakebread Clrs Cab Svgn 11,779.94,44.809857168500145
Calandray RSV Cotes Roussiln,215.88,35.07504168982768
Calera Ryan Vyd Pnt Nr,719.88,41.79029838306384
Calera de Villiers Pnt Nr,989.82,96.56402174132671
Calico Jack Cherry Rum,203.88,28.54620364920541
Calma Rioja,255.84,50.65666041275798
Cambas Nemea RSV Attica Rd,179.88,67.54503002001334
Camelot Merlot,98.90999999999998,20.14963097765645
Cameron Hughes Cam Coll Char,297.7900000000001,63.410457033479986
Camila Malbec,234.96,66.24106230847804
Camp Meeting Ridge Pnt Nr,650.93,90.14794217504186
Camp Merlot Sonoma Cnty,575.64,34.64665415884927
Canadian Club Sherry Cask,413.82,25.358851674641148
Canaletto Pnt Grigio Venezie,561.3700000000002,87.91171598054758
Canaletto Pnt Nr Pavia,359.64,31.931931931931935
Candoni Moscato,362.25000000000006,17.84679089026916
Candor Znfdl,167.88,35.45389563974267
Cantele Chard Salento,350.73,52.1597810281413
Cantele Primitivo Salento,671.5200000000001,31.95139385275197
Cantina Gabriele Dolc White,808.7500000000005,89.55425038639876
Cantine Cantena Fiano Avelno,322.83000000000004,3.2803642784127964
Cantine Cantena Taurasi,359.88,31.04368122707569
Cantine Maschio Sparkling Ro,568.4999999999999,18.216358839050127
Canyon Oaks Pink Moscato,71.88,33.72287145242069
Canyon Oaks Wh Znfdl Cal,569.0500000000002,32.68781302170286
Canyon Oaks Znfdl Cal,143.76,31.051752921535886
Cape Mentelle Sem/Svgn Bl,715.34,24.872088796935714
Caposaldo Moscato,167.88,32.45175125089349
Caposaldo Pnt Grigio Veneto,152.83,53.281423804226925
Caposaldo Sweet Moscato,569.6200000000001,11.35142726730102
Capostrano Montepulciano Abr,798.1000000000001,51.2692645031951
Cappelletti Apertivoch,459.77000000000004,59.13608978402245
Caprai Montefalco Rosso 09,813.3200000000004,22.392170363448614
Capt Morgan Lime Bite Rum,827.5600000000002,41.29591951291181
Capt Morgan ParrotBay Pineap,764.2400000000001,53.74275231563096
Capt Morgan ParrotBayPassion,29.98,25.350233488992668
Carlo Rossi RSV Chard Cal,847.3,29.90304595760449
